Client_ID;Transaction_time;time_zone
148;2019-12-15 05:24:35;US_Central
299;2019-12-15 13:09:57;US_Central
197;2019-12-15 13:30:02;US_Central
259;2019-12-15 14:26:03;US_Central
591;2019-12-16 06:31:55;US_Central
343;2019-12-16 06:33:04;US_Central
184;2019-12-16 11:54:35;US_Central
300;2019-12-16 18:15:15;US_Central
736;2019-12-16 22:52:28;US_Central
423;2019-12-17 00:21:34;US_Central
732;2019-12-17 01:59:19;US_Central
643;2019-12-17 17:23:30;US_Central
349;2019-12-18 04:05:29;US_Central
441;2019-12-18 10:27:02;US_Central
679;2019-12-18 19:18:16;US_Central
22;2019-12-19 07:45:08;US_Central
141;2019-12-19 11:24:14;US_Central
800;2019-12-19 11:27:24;US_Central
503;2019-12-19 14:44:20;US_Central
116;2019-12-19 18:48:46;US_Central
115;2019-12-20 09:29:20;US_Central
292;2019-12-20 20:07:56;US_Central
266;2019-12-21 04:01:32;US_Central
425;2019-12-21 04:57:40;US_Central
101;2019-12-21 15:40:39;US_Central
312;2019-12-21 17:45:26;US_Central
157;2019-12-21 22:00:52;US_Central
804;2019-12-22 08:07:07;US_Central
310;2019-12-22 14:26:21;US_Central
755;2019-12-22 18:37:35;US_Central
757;2019-12-22 20:36:28;US_Central
391;2019-12-23 13:26:05;US_Central
339;2019-12-24 04:57:45;US_Central
573;2019-12-24 08:35:42;US_Central
375;2019-12-24 10:56:01;US_Central
772;2019-12-24 13:20:52;US_Central
503;2019-12-24 20:51:43;US_Central
600;2019-12-25 02:10:51;US_Central
67;2019-12-25 15:30:55;US_Central
793;2019-12-26 01:25:29;US_Central
402;2019-12-26 07:06:33;US_Central
271;2019-12-26 09:26:29;US_Central
831;2019-12-26 10:47:45;US_Central
542;2019-12-27 01:04:52;US_Central
147;2019-12-27 04:27:39;US_Central
103;2019-12-27 04:58:02;US_Central
453;2019-12-27 12:51:49;US_Central
90;2019-12-28 03:30:53;US_Central
360;2019-12-28 07:17:22;US_Central
46;2019-12-28 07:47:29;US_Central
393;2019-12-28 10:28:01;US_Central
760;2019-12-28 20:23:22;US_Central
706;2019-12-29 05:01:56;US_Central
586;2019-12-29 06:51:00;US_Central
668;2019-12-30 01:39:15;US_Central
333;2019-12-30 11:37:06;US_Central
183;2019-12-30 16:16:32;US_Central
176;2019-12-31 01:37:14;US_Central
306;2019-12-31 01:57:53;US_Central
671;2019-12-31 03:07:12;US_Central
469;2019-12-31 09:06:03;US_Central
467;2019-12-31 10:30:44;US_Central
39;2019-12-31 21:04:32;US_Central
863;2020-01-01 13:05:25;US_Central
337;2020-01-01 20:06:15;US_Central
634;2020-01-02 04:46:52;US_Central
223;2020-01-02 05:15:17;US_Central
581;2020-01-02 07:58:32;US_Central
91;2020-01-02 08:23:29;US_Central
890;2020-01-02 10:11:53;US_Central
581;2020-01-02 11:31:25;US_Central
491;2020-01-02 19:29:14;US_Central
515;2020-01-03 00:49:09;US_Central
43;2020-01-03 03:49:55;US_Central
312;2020-01-03 05:17:17;US_Central
665;2020-01-03 05:31:09;US_Central
843;2020-01-03 17:29:02;US_Central
224;2020-01-03 21:36:19;US_Central
289;2020-01-04 11:09:57;US_Central
755;2020-01-04 14:42:05;US_Central
627;2020-01-04 18:04:57;US_Central
120;2020-01-04 19:45:08;US_Central
394;2020-01-05 03:16:19;US_Central
535;2020-01-05 06:12:45;US_Central
297;2020-01-05 23:07:31;US_Central
44;2020-01-06 04:01:34;US_Central
786;2020-01-06 07:42:51;US_Central
891;2020-01-06 14:52:07;US_Central
641;2020-01-06 19:31:10;US_Central
108;2020-01-07 03:32:49;US_Central
81;2020-01-07 06:30:10;US_Central
90;2020-01-07 06:47:36;US_Central
445;2020-01-07 15:22:39;US_Central
409;2020-01-07 16:27:33;US_Central
591;2020-01-07 22:42:07;US_Central
567;2020-01-08 00:00:05;US_Central
340;2020-01-08 14:14:30;US_Central
873;2020-01-09 02:56:57;US_Central
392;2020-01-09 06:42:41;US_Central
132;2020-01-09 13:53:16;US_Central
873;2020-01-09 17:34:24;US_Central
145;2020-01-09 21:27:01;US_Central
201;2020-01-09 22:09:30;US_Central
519;2020-01-10 03:10:06;US_Central
400;2020-01-11 01:32:15;US_Central
834;2020-01-11 20:04:37;US_Central
96;2020-01-11 21:59:09;US_Central
632;2020-01-11 23:40:39;US_Central
538;2020-01-12 11:50:10;US_Central
877;2020-01-12 12:54:21;US_Central
35;2020-01-12 20:11:27;US_Central
700;2020-01-13 16:00:22;US_Central
810;2020-01-14 05:35:47;US_Central
821;2020-01-14 06:28:19;US_Central
750;2020-01-14 10:38:49;US_Central
404;2020-01-14 15:36:48;US_Central
452;2020-01-14 16:17:01;US_Central
215;2020-01-14 17:01:00;US_Central
358;2020-01-14 18:12:37;US_Central
31;2020-01-15 00:41:48;US_Central
151;2020-01-15 05:33:30;US_Central
712;2020-01-15 05:56:59;US_Central
422;2020-01-15 16:48:44;US_Central
331;2020-01-16 00:52:30;US_Central
767;2020-01-16 02:03:33;US_Central
691;2020-01-16 06:49:47;US_Central
322;2020-01-16 07:27:13;US_Central
333;2020-01-16 13:43:16;US_Central
208;2020-01-16 13:47:37;US_Central
44;2020-01-16 14:46:58;US_Central
359;2020-01-17 02:40:30;US_Central
301;2020-01-17 03:33:26;US_Central
727;2020-01-17 05:07:33;US_Central
739;2020-01-18 02:44:08;US_Central
713;2020-01-18 07:01:01;US_Central
41;2020-01-19 00:17:46;US_Central
626;2020-01-19 01:47:14;US_Central
657;2020-01-19 19:15:16;US_Central
837;2020-01-19 19:45:47;US_Central
694;2020-01-21 13:09:34;US_Central
268;2020-01-21 22:24:32;US_Central
444;2020-01-22 02:49:41;US_Central
590;2020-01-22 04:14:16;US_Central
27;2020-01-22 13:59:39;US_Central
107;2020-01-22 16:21:36;US_Central
346;2020-01-22 17:59:29;US_Central
449;2020-01-23 01:39:52;US_Central
732;2020-01-23 05:50:52;US_Central
445;2020-01-23 06:02:24;US_Central
870;2020-01-23 09:48:42;US_Central
833;2020-01-23 10:21:48;US_Central
115;2020-01-23 16:12:39;US_Central
174;2020-01-23 17:24:10;US_Central
165;2020-01-23 17:24:19;US_Central
606;2020-01-23 19:54:33;US_Central
728;2020-01-24 08:25:43;US_Central
864;2020-01-24 10:09:33;US_Central
330;2020-01-24 14:41:06;US_Central
620;2020-01-24 18:05:53;US_Central
131;2020-01-24 18:06:00;US_Central
360;2020-01-24 22:26:55;US_Central
7;2020-01-25 01:17:20;US_Central
154;2020-01-25 02:39:59;US_Central
816;2020-01-25 16:49:07;US_Central
728;2020-01-26 03:45:21;US_Central
531;2020-01-26 04:30:31;US_Central
275;2020-01-26 06:14:57;US_Central
206;2020-01-26 09:45:09;US_Central
219;2020-01-27 01:32:14;US_Central
365;2020-01-27 01:58:38;US_Central
604;2020-01-27 03:19:15;US_Central
701;2020-01-27 09:22:35;US_Central
655;2020-01-27 09:45:40;US_Central
480;2020-01-27 11:08:15;US_Central
371;2020-01-27 12:32:54;US_Central
171;2020-01-28 06:01:38;US_Central
703;2020-01-28 06:15:05;US_Central
880;2020-01-29 04:47:49;US_Central
589;2020-01-29 12:03:56;US_Central
678;2020-01-30 03:53:35;US_Central
408;2020-01-30 07:25:45;US_Central
801;2020-01-30 08:45:39;US_Central
817;2020-01-30 09:09:39;US_Central
760;2020-01-30 12:50:01;US_Central
129;2020-01-30 15:05:31;US_Central
764;2020-01-30 17:33:22;US_Central
378;2020-01-31 01:10:08;US_Central
687;2020-01-31 02:26:26;US_Central
419;2020-01-31 08:14:01;US_Central
548;2020-01-31 20:59:37;US_Central
561;2020-01-31 22:12:22;US_Central
254;2020-02-01 07:41:51;US_Central
142;2020-02-01 08:47:05;US_Central
787;2020-02-01 11:00:57;US_Central
820;2020-02-01 12:53:12;US_Central
365;2020-02-01 14:35:42;US_Central
296;2020-02-02 04:09:27;US_Central
127;2020-02-02 08:00:15;US_Central
770;2020-02-02 11:27:49;US_Central
365;2020-02-02 18:17:09;US_Central
668;2020-02-02 22:36:12;US_Central
397;2020-02-03 00:14:57;US_Central
26;2020-02-03 04:30:17;US_Central
642;2020-02-03 08:54:49;US_Central
859;2020-02-03 16:30:18;US_Central
374;2020-02-03 18:09:28;US_Central
270;2020-02-03 18:36:41;US_Central
618;2020-02-03 21:45:12;US_Central
82;2020-02-04 12:06:21;US_Central
621;2020-02-04 19:27:30;US_Central
212;2020-02-05 00:37:32;US_Central
