Client_ID;Transaction_time;time_zone
86;2019-12-15 13:39:21;UTC
313;2019-12-16 18:00:26;UTC
198;2019-12-17 06:20:07;UTC
466;2019-12-17 06:47:42;UTC
119;2019-12-17 11:46:27;UTC
437;2019-12-17 14:00:18;UTC
64;2019-12-17 16:33:25;UTC
514;2019-12-17 21:04:18;UTC
417;2019-12-18 08:30:50;UTC
450;2019-12-18 17:19:56;UTC
639;2019-12-18 20:22:09;UTC
177;2019-12-18 22:38:14;UTC
298;2019-12-19 01:27:57;UTC
236;2019-12-19 01:38:36;UTC
593;2019-12-19 01:39:31;UTC
809;2019-12-19 05:03:49;UTC
860;2019-12-19 15:42:46;UTC
808;2019-12-20 04:38:25;UTC
676;2019-12-20 07:08:20;UTC
565;2019-12-20 09:03:23;UTC
884;2019-12-20 10:29:26;UTC
274;2019-12-20 20:06:37;UTC
226;2019-12-20 20:30:50;UTC
819;2019-12-21 07:12:08;UTC
356;2019-12-21 15:40:42;UTC
64;2019-12-22 09:30:14;UTC
819;2019-12-22 13:29:41;UTC
245;2019-12-22 18:27:18;UTC
248;2019-12-22 18:57:06;UTC
175;2019-12-23 20:46:25;UTC
476;2019-12-23 23:39:52;UTC
583;2019-12-24 00:32:53;UTC
222;2019-12-24 09:05:07;UTC
681;2019-12-24 16:35:20;UTC
512;2019-12-25 05:03:54;UTC
349;2019-12-25 19:39:45;UTC
826;2019-12-25 20:56:22;UTC
613;2019-12-25 22:28:46;UTC
368;2019-12-26 05:27:54;UTC
572;2019-12-26 13:11:58;UTC
561;2019-12-26 21:46:22;UTC
792;2019-12-27 02:37:04;UTC
584;2019-12-27 08:06:26;UTC
69;2019-12-27 15:07:55;UTC
738;2019-12-27 20:32:46;UTC
655;2019-12-27 21:32:01;UTC
372;2019-12-28 03:57:52;UTC
859;2019-12-28 06:50:12;UTC
633;2019-12-28 07:11:31;UTC
642;2019-12-28 07:18:19;UTC
690;2019-12-28 22:03:21;UTC
250;2019-12-29 03:27:46;UTC
856;2019-12-29 11:46:08;UTC
18;2019-12-29 13:54:10;UTC
84;2019-12-29 17:22:55;UTC
332;2019-12-29 19:52:00;UTC
794;2019-12-29 21:11:16;UTC
847;2019-12-30 11:15:39;UTC
57;2019-12-31 01:17:32;UTC
799;2019-12-31 01:52:07;UTC
796;2019-12-31 09:28:53;UTC
279;2019-12-31 13:54:51;UTC
796;2019-12-31 15:22:59;UTC
494;2019-12-31 15:48:20;UTC
805;2019-12-31 19:31:00;UTC
33;2019-12-31 22:12:54;UTC
720;2019-12-31 23:55:29;UTC
179;2020-01-01 20:48:42;UTC
763;2020-01-02 00:04:55;UTC
111;2020-01-02 00:38:17;UTC
613;2020-01-02 00:42:10;UTC
371;2020-01-02 04:15:09;UTC
399;2020-01-02 04:21:46;UTC
697;2020-01-02 06:21:14;UTC
883;2020-01-02 15:06:38;UTC
64;2020-01-03 13:40:40;UTC
224;2020-01-03 18:49:51;UTC
873;2020-01-03 18:54:27;UTC
788;2020-01-04 00:35:06;UTC
700;2020-01-04 04:11:35;UTC
666;2020-01-04 06:07:55;UTC
575;2020-01-04 07:51:08;UTC
572;2020-01-05 04:23:11;UTC
641;2020-01-05 17:58:32;UTC
718;2020-01-06 01:19:14;UTC
759;2020-01-06 06:16:40;UTC
865;2020-01-06 21:37:38;UTC
64;2020-01-07 04:04:36;UTC
85;2020-01-07 09:40:45;UTC
651;2020-01-07 14:17:10;UTC
319;2020-01-07 15:07:16;UTC
437;2020-01-07 19:10:39;UTC
529;2020-01-07 23:19:57;UTC
90;2020-01-08 02:57:20;UTC
94;2020-01-08 03:56:28;UTC
